"url	page	""page without timeline""	date"
"https://www.ut.ee/et	http://wayback.archive.org/web/20131209024648id_/http://www.ut.ee/et	http://wayback.archive.org/web/20131209024648/http://www.ut.ee/et	20131209024648"
"https://www.ut.ee/et	http://wayback.archive.org/web/20131209153949id_/http://www.ut.ee/et	http://wayback.archive.org/web/20131209153949/http://www.ut.ee/et	20131209153949"
"https://www.ut.ee/et	http://wayback.archive.org/web/20131210190803id_/http://www.ut.ee/et	http://wayback.archive.org/web/20131210190803/http://www.ut.ee/et	20131210190803"
"https://www.ut.ee/et	http://wayback.archive.org/web/20131211165522id_/http://www.ut.ee/et	http://wayback.archive.org/web/20131211165522/http://www.ut.ee/et	20131211165522"
"https://www.ut.ee/et	http://wayback.archive.org/web/20131213114220id_/http://www.ut.ee/et	http://wayback.archive.org/web/20131213114220/http://www.ut.ee/et	20131213114220"
"https://www.ut.ee/et	http://wayback.archive.org/web/20131214125155id_/http://www.ut.ee/et	http://wayback.archive.org/web/20131214125155/http://www.ut.ee/et	20131214125155"
"https://www.ut.ee/et	http://wayback.archive.org/web/20131215151742id_/http://www.ut.ee/et	http://wayback.archive.org/web/20131215151742/http://www.ut.ee/et	20131215151742"
"https://www.ut.ee/et	http://wayback.archive.org/web/20131216182708id_/http://www.ut.ee/et	http://wayback.archive.org/web/20131216182708/http://www.ut.ee/et	20131216182708"
"https://www.ut.ee/et	http://wayback.archive.org/web/20131217203407id_/http://www.ut.ee/et	http://wayback.archive.org/web/20131217203407/http://www.ut.ee/et	20131217203407"
"https://www.ut.ee/et	http://wayback.archive.org/web/20131218205012id_/http://www.ut.ee/et	http://wayback.archive.org/web/20131218205012/http://www.ut.ee/et	20131218205012"
"https://www.ut.ee/et	http://wayback.archive.org/web/20131222012527id_/http://www.ut.ee/et	http://wayback.archive.org/web/20131222012527/http://www.ut.ee/et	20131222012527"
"https://www.ut.ee/et	http://wayback.archive.org/web/20131224214706id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20131224214706/http://www.ut.ee:80/et	20131224214706"
"https://www.ut.ee/et	http://wayback.archive.org/web/20140102013455id_/http://www.ut.ee/et	http://wayback.archive.org/web/20140102013455/http://www.ut.ee/et	20140102013455"
"https://www.ut.ee/et	http://wayback.archive.org/web/20140105195739id_/http://www.ut.ee/et	http://wayback.archive.org/web/20140105195739/http://www.ut.ee/et	20140105195739"
"https://www.ut.ee/et	http://wayback.archive.org/web/20140107164926id_/http://www.ut.ee/et	http://wayback.archive.org/web/20140107164926/http://www.ut.ee/et	20140107164926"
"https://www.ut.ee/et	http://wayback.archive.org/web/20140113113227id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20140113113227/http://www.ut.ee:80/et	20140113113227"
"https://www.ut.ee/et	http://wayback.archive.org/web/20140121180643id_/http://www.ut.ee/et	http://wayback.archive.org/web/20140121180643/http://www.ut.ee/et	20140121180643"
"https://www.ut.ee/et	http://wayback.archive.org/web/20140201223438id_/http://www.ut.ee/et	http://wayback.archive.org/web/20140201223438/http://www.ut.ee/et	20140201223438"
"https://www.ut.ee/et	http://wayback.archive.org/web/20140202225739id_/http://www.ut.ee/et	http://wayback.archive.org/web/20140202225739/http://www.ut.ee/et	20140202225739"
"https://www.ut.ee/et	http://wayback.archive.org/web/20140203101725id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20140203101725/http://www.ut.ee:80/et	20140203101725"
"https://www.ut.ee/et	http://wayback.archive.org/web/20140207052030id_/http://www.ut.ee/et	http://wayback.archive.org/web/20140207052030/http://www.ut.ee/et	20140207052030"
"https://www.ut.ee/et	http://wayback.archive.org/web/20140208200735id_/http://www.ut.ee/et	http://wayback.archive.org/web/20140208200735/http://www.ut.ee/et	20140208200735"
